a 啊嗄锕阿
lou 偻喽娄嵝搂楼漏瘘篓耧蒌蝼镂陋髅
lu 卢卤噜垆庐录戮掳撸栌橹氇泸渌漉潞炉璐碌禄簏胪舻芦虏赂路轳辂辘逯镥陆露颅鲁鲈鸬鹭鹿麓
luan 乱卵娈孪峦挛栾滦脔銮鸾
lun 仑伦囵抡沦纶论轮
luo 倮摞椤泺洛漯猡珞瘰箩络罗脶荦萝落螺蠃裸逻锣镙雒骆骡
lv 侣吕屡履律捋旅榈氯滤率稆绿缕膂虑褛铝闾驴
lve 掠略锊
ma 吗唛嘛妈嬷杩犸玛码蚂蟆马骂麻
mai 买劢卖埋脉荬迈霾麦
man 墁幔慢曼满漫熳瞒缦蔓蛮螨谩镘鞔颟馒鳗
mang 忙氓漭盲硭芒茫莽蟒邙
mao 冒卯峁帽懋旄昴毛泖牦猫瑁瞀矛耄茂茅茆蝥蟊袤貌贸铆锚髦
me 么
mei 妹媒媚寐嵋昧枚梅楣每没浼湄煤猸玫眉美莓袂酶镁镅霉魅鹛
men 们懑扪焖钔门闷
meng 勐孟懵朦梦檬猛甍盟瞢礞艋艨萌蒙虻蜢蠓锰
mi 冖咪嘧宓密幂弥弭敉汨泌猕眯祢秘米糜糸縻脒芈蘼蜜觅谜谧迷醚靡麋
mian 免冕勉娩宀棉沔渑湎眄眠绵缅腼面
miao 喵妙庙描杪淼渺眇瞄秒缈苗藐邈鹋
mie 乜咩灭篾蔑蠛
min 岷悯愍抿敏民泯珉皿缗苠闵闽鳘黾
ming 冥名命明暝溟瞑茗螟酩铭鸣
miu 谬
mo 墨嫫寞抹摩摸摹末模殁沫漠瘼磨秣耱膜茉莫蓦蘑谟貊貘镆陌馍魔麽默
mou 侔哞某牟眸缪蛑谋鍪
mu 亩仫募坶墓姆幕慕拇暮木母毪沐牡牧目睦穆苜钼
n 嗯
na 呐哪娜拿捺纳肭衲那钠镎
nai 乃奈奶柰氖耐艿萘鼐
nan 南喃囡楠男腩蝻赧难
nang 囊囔攮曩馕
nao 呶垴孬恼挠淖猱瑙硇脑蛲铙闹
ne 呢疒讷
nei 内馁
nen 嫩恁
neng 能
ni 伲你倪匿坭妮尼怩拟旎昵泥溺猊睨腻逆铌霓鲵
nian 埝年廿念拈捻撵碾蔫辇辗鲇鲶黏
niang 娘酿
niao 嬲尿脲茑袅鸟
nie 啮嗫孽捏涅聂臬蘖蹑镊镍陧颞
nin 您
ning 佞凝咛宁拧柠泞狞甯聍
niu 妞忸扭牛狃纽钮
nong 侬农哝弄浓脓
nou 耨
nu 努奴孥弩怒胬驽
nuan 暖
nuo 傩喏懦挪搦糯诺锘
nv 女恧衄钕
nve 疟虐
o 哦喔噢
ou 偶呕怄欧殴沤瓯耦藕讴鸥
pa 啪帕怕杷爬琶筢葩趴
pai 俳哌徘拍排派湃牌蒎
pan 判叛拚攀泮潘爿畔盘盼磐蟠袢襻蹒
pang 乓庞彷旁滂耪胖螃逄
pao 刨匏咆庖抛泡炮狍疱脬袍跑
pei 佩呸培帔旆沛胚裴赔辔配醅锫陪霈
pen 喷湓盆
peng 嘭堋彭怦抨捧朋棚澎烹砰硼碰篷膨蓬蟛鹏
pi 丕仳僻劈匹啤噼圮坯埤媲屁庀批披擗枇毗淠琵甓疋疲痞癖皮睥砒纰罴脾芘蚍蜱譬貔辟邳郫铍陴霹鼙
pian 偏片犏篇翩胼谝蹁骈骗
piao 剽嘌嫖殍漂瓢瞟票缥螵飘
pie 丿撇氕瞥苤
pin 品姘嫔拼榀牝聘贫频颦
ping 乒俜凭坪娉屏平枰瓶苹萍评鲆
po 叵坡婆泊泼珀皤破笸粕迫鄱钋钷颇魄
pou 剖掊裒
pu 仆匍噗圃埔扑攴攵普曝朴氆浦溥濮瀑璞脯莆菩葡蒲谱蹼铺镤镨
qi 七乞亓企俟其凄启嘁器圻奇契妻屺岂岐崎弃憩戚旗期杞柒栖桤棋槭欺歧气汔汽沏泣淇漆琦琪畦砌碛祁祈祺綦綮绮耆脐芑芪萁萋葺蕲蛴蜞讫起蹊迄颀骐骑鳍麒齐
qia 恰掐洽葜髂
qian 乾仟佥倩凵前千堑岍嵌悭愆慊扦掮搴椠欠歉浅潜牵签箝缱肷芊芡茜虔褰谦谴迁遣钎钤钱钳铅阡骞黔
qiang 丬呛墙嫱强戕戗抢枪樯炝羌羟腔蔷蜣襁跄锖锵镪
qiao 乔侨俏劁峭巧悄愀憔撬敲桥樵橇瞧硗窍缲翘荞诮谯跷锹鞒鞘
qie 且切妾怯惬挈窃箧郄锲
qin 亲侵勤吣嗪噙寝揿擒檎沁溱琴禽秦芩芹螓衾钦锓
qing 倾卿圊庆情擎晴檠氢氰清磬箐罄苘蜻謦请轻青顷鲭黥
qiong 琼穷穹筇芎茕蛩跫邛銎
qiu 丘俅囚巯楸求泅犰球秋糗虬蚯蝤裘赇逑遒邱酋鳅鼽
qu 劬区去取娶屈岖曲朐氍渠璩癯瞿磲祛蕖蘧蛆蛐蠼衢觑诎趋趣躯阒驱鸲麴黢龋
quan 全券劝圈悛拳权泉犬犭畎痊筌绻荃蜷诠辁醛铨颧鬈
que 却悫榷瘸确缺阕阙雀鹊
qun 群裙逡
ran 冉染然燃苒蚺髯
rang 嚷壤攘瓤禳穰让
rao 娆扰桡绕荛饶
re 惹热
ren 人亻仁仞任刃壬妊忍稔纫荏葚衽认轫韧饪
reng 仍扔
ri 日
rong 冗容嵘戎榕溶熔狨绒肜茸荣蓉蝾融
rou 揉柔糅肉蹂鞣
ru 乳儒入嚅如孺汝洳溽濡缛茹蓐薷蠕褥襦辱铷颥
ruan 朊软阮
rui 枘瑞睿芮蕊蕤蚋锐
run 润闰
ruo 偌弱箬若
sa 仨卅挲撒洒脎萨飒
sai 噻塞腮赛鳃
san 三伞叁散毵糁馓
sang 丧嗓搡桑磉颡
sao 埽嫂扫搔瘙缫臊骚鳋
se 啬涩瑟穑色铯
sen 森
seng 僧
sha 傻刹厦唼啥杀歃沙煞痧砂纱莎裟铩霎鲨
shai 晒筛酾
shan 删剡善埏姗嬗山彡扇擅杉汕潸煽珊疝缮膳膻舢芟苫蟮衫讪赡跚鄯钐闪陕骟鳝
shang 上伤商垧墒尚晌殇熵绱裳觞赏
shao 劭勺哨少捎梢潲烧稍筲绍艄芍苕蛸邵韶
she 佘厍奢射慑摄歙涉滠猞畲社舌舍蛇设赊赦麝
shen 什伸呻哂娠婶审慎椹沈深渖渗甚申矧砷神绅肾胂莘蜃诜谂身
sheng 剩升圣声嵊牲生甥盛省眚笙绳胜
shi 世事仕似使侍势匙十史嗜噬埘士失始实室尸屎市师式弑恃拭拾施时是柿氏湿炻狮矢石示礻筮舐莳蓍虱蚀螫视誓识试诗谥豉豕贳轼适逝释铈食饣饰驶鲥鲺
shou 兽受售守寿手扌授收狩瘦绶艏首
shu 书倏叔塾墅姝孰属庶恕戍抒摅数暑曙术束枢树梳殊殳毹沭淑漱澍熟疏秫竖纾署腧舒菽蔬薯蜀赎输述黍鼠
shua 刷唰耍
shuai 帅摔甩蟀衰
shuan 拴栓涮闩
shuang 双孀爽霜
shui 水氵睡税谁
shun 吮瞬舜顺
shuo 妁搠朔槊烁硕蒴说铄
si 丝兕厮厶司咝嗣嘶四姒寺巳思撕斯死汜泗澌祀私笥纟缌耜肆蛳锶饲驷鸶
song 凇宋崧嵩忪怂悚松淞竦耸菘讼诵送颂
sou 叟嗖嗽嗾搜擞溲瞍艘薮螋锼飕馊
su 俗僳嗉塑夙宿愫涑溯稣簌粟素肃苏蔌觫诉谡速酥
suan 狻算蒜酸
sui 岁濉燧眭睢碎祟穗绥荽虽谇遂邃隋随隧髓
sun 孙损榫狲笋荪隼飧
suo 唆唢嗍嗦娑所桫梭琐睃索缩羧蓑锁
ta 他塌塔她它挞榻溻獭趿踏蹋遢铊闼鳎
tai 台太态抬汰泰炱肽胎苔薹跆邰酞钛鲐
tan 叹坍坛坦忐探摊昙檀毯滩潭炭痰瘫碳袒覃谈谭贪郯钽锬
tang 倘傥唐堂塘帑搪棠樘汤淌溏烫瑭糖羰耥膛螗螳趟躺醣铴镗饧
tao 啕套掏桃洮涛淘滔绦萄讨逃陶韬饕鼗
te 忑忒慝特铽
teng 滕疼腾藤誊
ti 体倜剃剔啼嚏屉悌惕提替梯涕绨缇荑裼踢蹄逖醍锑题鹈
tian 填天忝恬掭殄添甜田畋腆舔阗
tiao 佻挑条眺祧窕笤粜蜩跳迢髫鲦龆
tie 帖萜贴铁餮
ting 亭停厅听婷庭廷挺梃汀烃町艇莛葶蜓霆
tong 仝佟僮同嗵彤恸捅桐桶潼痛瞳砼童筒统茼通酮铜
tou 亠偷头投透钭骰
tu 兔凸吐图土堍屠徒涂秃突荼菟途酴钍
tuan 团彖抟湍疃
tui 推煺腿蜕褪退颓
tun 吞屯暾氽臀豚饨
tuo 乇佗唾坨妥庹托拓拖柝椭橐沱沲砣箨脱跎酡陀驮驼鸵鼍
wa 佤哇娃娲挖洼瓦腽蛙袜
wai 外崴歪
wan 万丸剜婉完宛弯惋挽晚湾烷玩琬畹皖碗纨绾脘腕芄菀蜿豌顽
wang 亡妄往忘惘旺望枉汪王网罔辋魍
wei 为伟伪位偎卫危味唯喂囗围圩委威娓尉尾嵬巍帏帷微惟慰未桅沩洧涠渭潍炜煨猥猬玮畏痿纬维胃艉苇萎葳蔚薇诿谓軎违逶闱隈韦韪魏鲔
wen 刎吻文汶温玟璺瘟稳紊纹蚊问闻阌雯
weng 嗡瓮翁蓊蕹
wo 倭卧幄我挝握斡沃涡渥硪窝肟莴蜗龌
wu 乌五仵伍侮兀务勿午吴吾呒呜唔圬坞妩婺寤屋巫庑忤怃悟戊捂无晤杌梧武毋污浯焐物牾痦舞芜芴蜈诬误迕邬鋈钨阢雾骛鹉鹜鼯
xi 习僖兮吸唏喜嘻夕奚媳嬉屣希席徙息悉惜戏昔晰曦析樨檄欷汐洗浠淅溪烯熄熙熹牺犀玺皙矽硒禊禧稀穸粞系细羲翕膝舄舾菥葸蓰蜥螅蟋袭西觋郗醯铣锡阋隙隰饩鼷
xia 下侠匣吓夏峡暇柙狎狭瑕瞎硖罅虾辖遐霞黠
xian 仙先冼县咸娴嫌宪岘弦掀显暹氙涎燹猃献现痫祆筅籼纤线羡腺舷苋莶藓蚬衔贤跣跹酰锨闲限险陷霰馅鲜鹇
xiang 乡享像厢向响巷庠想橡湘相祥箱缃翔芗葙蟓襄详象镶项飨饷香骧鲞
xiao 哓哮啸嚣孝宵小崤效晓枭枵校消淆潇硝笑筱箫绡肖萧逍销霄骁魈
xie 些亵偕写勰协卸屑廨懈挟携撷斜械楔榍榭歇泄泻渫瀣燮獬绁缬胁薤蝎蟹谐谢躞邂邪鞋
xin 信囟心忄忻新昕欣歆芯薪衅辛鑫锌馨
xing 兴刑型姓幸形性悻惺擤星杏猩硎腥荇荥行邢醒陉
xiong 兄凶匈汹熊胸雄
xiu 休修咻嗅岫庥朽溴秀绣羞袖貅锈馐髹鸺
xu 勖叙吁嘘墟婿序徐恤戌旭栩洫溆煦盱糈絮绪续胥蓄蓿虚许诩酗醑需须顼
xuan 儇喧宣悬揎旋暄楦泫渲漩炫煊玄璇痃癣眩碹绚萱谖轩选铉镟
xue 削学泶穴薛血谑踅雪靴鳕
xun 勋埙寻峋巡巽徇循恂旬曛殉汛洵浔熏獯窨荀荨蕈薰训讯询迅逊醺驯鲟
ya 丫亚伢压吖呀哑垭娅岈崖押揠桠氩涯牙琊痖睚砑芽蚜衙讶轧迓雅鸦鸭
yan 严俨偃兖厌厣咽唁堰奄妍嫣宴岩崦延彦恹掩晏檐沿淹湮滟演炎烟焉焰焱燕琰盐眼研砚筵罨胭腌艳芫菸蜒衍言讠谚谳赝郾鄢酽闫阉阎雁颜餍验魇鼹
yang 仰佯养央徉怏恙扬杨样殃氧泱洋漾炀烊疡痒秧羊蛘阳鞅鸯
yao 吆咬夭妖姚尧崾幺徭摇曜杳爻珧瑶窈窑繇耀肴腰舀药要谣轺遥邀钥鳐鹞
ye 业也冶叶噎夜掖揶晔曳椰液烨爷耶腋谒邺野铘靥页
yi 一义乙亦亿以仪伊佚佾依倚刈劓医呓咦咿噫圯埸壹夷奕姨宜屹峄嶷已异弈弋彝役忆怡怿悒意懿抑挹揖旖易椅欹殪毅沂溢漪熠猗疑疫痍瘗癔益眙矣移绎缢羿翊翌翳翼肄胰臆舣艺苡薏蚁蜴衣衤裔议译诒诣谊贻轶迤逸遗邑酏钇铱镒镱颐饴驿黟
yin 印吟吲喑因垠堙夤姻寅尹廴引殷氤洇淫狺瘾胤茚茵荫蚓鄞铟银阴隐霪音饮
ying 嘤婴媵嬴应影撄映楹樱滢潆瀛瑛璎瘿盈硬缨罂膺英茔荧莹莺萤营萦蓥蝇赢迎郢颍颖鹦鹰
yo 哟唷
yong 佣俑勇咏喁墉壅庸恿慵拥永泳涌用甬痈臃蛹踊邕镛雍饔鳙
you 优佑侑卣又友右呦囿宥尢尤幼幽忧悠攸有柚油游牖犹猷由疣莜莠莸蚰蚴蝣诱邮酉釉铀铕鱿黝鼬
yu 与予于伛余俞俣喻圄圉域妤妪娱宇寓屿峪嵛庾御愈愉愚揄於昱榆欤欲毓浴淤渔渝煜燠狱狳玉瑜瘀瘐盂禹禺窬窳竽纡羽聿肀育腴臾舁舆芋萸蓣虞蜮蝓裕觎誉语谀谕豫迂逾遇郁钰阈隅雨雩预饫馀驭鬻鱼鹆鹬龉
yuan 元冤原员园圆垣垸塬媛怨愿掾援橼沅渊源爰猿瑗眢箢缘苑螈袁辕远院鸢鸳鼋
yue 刖岳悦曰月樾瀹粤约越跃钺阅龠
yun 云允匀孕恽愠昀晕殒氲熨狁筠纭耘芸蕴运郓郧酝陨韫韵
za 匝咂咋拶杂砸
zai 仔再哉在宰崽栽灾甾载
zan 咱攒昝暂瓒簪糌赞趱錾
zang 奘脏臧葬赃驵
zao 凿唣噪早枣澡灶燥皂糟藻蚤躁造遭
ze 仄则啧帻择昃泽笮箦舴责赜迮
zei 贼
zen 怎谮
zeng 增憎甑缯罾赠锃
zha 乍吒咤哳喳扎揸札柞栅楂榨渣炸痄眨砟蚱诈铡闸齄
zhai 债宅寨摘斋瘵砦窄
